job_id,memory_GB,network_log10_MBps,local_IO_log10_MBps,NFS_IO_log10_MBps,failed
jobID1634295,44.3904,-1.0262,0.8033,-3.0000,0
jobID2033452,31.5839,-1.4608,-0.6080,-2.9967,0
jobID2068800,154.4610,-0.5508,-0.3637,-3.0000,0
jobID78826,71.8570,3.5701,-0.1281,2.3040,0
jobID2935014,30.0370,3.3094,-0.9463,-3.0000,0
jobID349906,37.4598,-1.4783,0.7389,-3.0000,0
jobID494334,7.4572,3.0176,-0.5827,-3.0000,0
jobID1173855,9.7618,-1.9703,0.2197,-3.0000,0
jobID1172335,28.9417,3.4735,-0.9132,-3.0000,0
jobID1152712,8.2252,0.6708,-0.1757,-1.2731,0
jobID690875,40.7109,-1.5071,-0.5368,-3.0000,0
jobID3181625,10.0121,1.2669,-1.0480,-3.0000,0
jobID745330,7.4666,-0.9586,-0.7747,-0.4978,0
jobID1326512,7.6462,0.5493,-0.3029,-3.0000,0
jobID2535198,56.5116,-0.1636,-0.9940,-3.0000,0
jobID1146014,7.5754,-0.4390,-1.2524,-0.4564,0
jobID794668,3.7022,0.1243,-0.6751,-0.5939,0
jobID1765830,79.3064,1.2764,0.7740,-1.1955,0
jobID856360,14.9477,0.2147,0.3581,-2.6792,0
jobID1054309,34.0652,-0.9927,-0.6946,-1.8647,0
jobID2392137,9.5165,0.9294,-0.0774,0.4565,0
jobID721784,89.2150,2.2681,0.0177,0.4111,0
jobID1784093,32.4488,1.8770,-0.1212,-3.0000,1
jobID1314202,22.5180,1.4541,-1.0582,1.3557,0
jobID2644272,12.0422,2.9380,-1.3526,-3.0000,0
jobID1034366,135.9541,3.5765,-0.5382,-1.2412,0
jobID2457125,9.9620,2.8586,0.3187,-1.6449,0
jobID2396426,19.5245,1.8940,-0.4340,1.5519,0
jobID476901,7.3165,2.6603,-0.3555,-3.0000,0
jobID56974,7.8550,2.8821,0.2840,-1.6131,0
jobID2297353,8.0438,-1.2788,-0.9778,-1.5468,0
jobID1358410,14.8057,-0.9808,0.4264,-3.0000,0
jobID686592,22.4032,3.2081,-0.3426,-3.0000,0
jobID1627733,21.3869,3.0531,-0.6364,-3.0000,0
jobID579265,22.4315,1.9640,-0.8004,-2.7048,0
jobID1113678,9.5974,0.8113,-0.3902,-3.0000,0
jobID1514600,19.9465,0.6827,0.7237,0.2012,0
jobID2603781,10.0187,1.0323,-0.7926,-3.0000,0
